Ntop_0_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_0_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y,Ntop_0_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_0_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y,Ntop_1_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_1_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y,Ntop_1_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_1_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y
3.3372257e-8,2.1141544e-9,3.3372257e-8,-3.1158122e-13,3.3372257e-8,-3.1275208e-13,3.3372257e-8,-1.4242374e-14
3.8372257e-8,1.4545379e-9,3.8372257e-8,3.5125062e-13,3.8372257e-8,3.5234621e-13,3.8372257e-8,3.1986301e-14
4.3372257e-8,1.0013701e-9,4.3372257e-8,8.4536902e-13,4.3372257e-8,8.489825e-13,4.3372257e-8,6.419312e-14
4.8372257e-8,6.9035108e-10,4.8372257e-8,1.1377574e-12,4.8372257e-8,1.1435214e-12,4.8372257e-8,8.6571209e-14
5.3372257e-8,4.7662711e-10,5.3372257e-8,1.2497607e-12,5.3372257e-8,1.2569295e-12,5.3372257e-8,1.0217168e-13
5.8372257e-8,3.2948973e-10,5.8372257e-8,1.2305779e-12,5.8372257e-8,1.2383296e-12,5.8372257e-8,1.131021e-13
6.3372257e-8,2.2801133e-10,6.3372257e-8,1.1320765e-12,6.3372257e-8,1.1397189e-12,6.3372257e-8,1.2078873e-13
6.8372257e-8,1.5791698e-10,6.8372257e-8,9.9601417e-13,6.8372257e-8,1.0030689e-12,6.8372257e-8,1.2619753e-13
7.3372257e-8,1.0944284e-10,7.3372257e-8,8.509098e-13,7.3372257e-8,8.5711014e-13,7.3372257e-8,1.2999092e-13
7.8372257e-8,7.5890273e-11,7.8372257e-8,7.136836e-13,7.8372257e-8,7.1893112e-13,7.8372257e-8,1.3263266e-13
8.3372257e-8,5.2650889e-11,8.3372257e-8,5.9276786e-13,8.3372257e-8,5.9707865e-13,8.3372257e-8,1.3445339e-13
8.8372257e-8,3.6547247e-11,8.8372257e-8,4.9108872e-13,8.8372257e-8,4.9454609e-13,8.8372257e-8,1.3569204e-13
9.3372257e-8,2.5384725e-11,9.3372257e-8,4.0836899e-13,9.3372257e-8,4.1108761e-13,9.3372257e-8,1.3652183e-13
9.8372257e-8,1.7645577e-11,9.8372257e-8,3.4270479e-13,9.8372257e-8,3.4480705e-13,9.8372257e-8,1.3706804e-13
1e-7,1.568812e-11,1e-7,3.2461975e-13,1e-7,3.2654681e-13,1e-7,1.3719952e-13

