Ntop1 TotalCurrent X,Ntop1 TotalCurrent Y,Ntop2 TotalCurrent X,Ntop2 TotalCurrent Y,Ntop3 TotalCurrent X,Ntop3 TotalCurrent Y,Ntop4 TotalCurrent X,Ntop4 TotalCurrent Y
4.7324677e-08,2.0731066e-09,4.7324677e-08,2.0731224e-09,4.7324677e-08,2.073181e-09,4.7324677e-08,2.0731248e-09
5.2324677e-08,1.5842424e-09,5.2324677e-08,1.5842518e-09,5.2324677e-08,1.5842983e-09,5.2324677e-08,1.584255e-09
5.7324677e-08,1.2192912e-09,5.7324677e-08,1.2192965e-09,5.7324677e-08,1.2193332e-09,5.7324677e-08,1.2192999e-09
6.2324677e-08,9.4392194e-10,6.2324677e-08,9.4392427e-10,6.2324677e-08,9.439533e-10,6.2324677e-08,9.4392764e-10
6.7324677e-08,7.3423064e-10,6.7324677e-08,7.3423132e-10,6.7324677e-08,7.3425413e-10,6.7324677e-08,7.342342e-10
7.2324677e-08,5.733203e-10,7.2324677e-08,5.7331995e-10,7.2324677e-08,5.7333787e-10,7.2324677e-08,5.7332252e-10
7.7324677e-08,4.4905725e-10,7.7324677e-08,4.4905635e-10,7.7324677e-08,4.4907049e-10,7.7324677e-08,4.4905852e-10
8.2324677e-08,3.5259715e-10,8.2324677e-08,3.5259593e-10,8.2324677e-08,3.5260708e-10,8.2324677e-08,3.5259778e-10
8.7324677e-08,2.7740447e-10,8.7324677e-08,2.7740318e-10,8.7324677e-08,2.7741199e-10,8.7324677e-08,2.7740472e-10
9.2324677e-08,2.1859179e-10,9.2324677e-08,2.1859051e-10,9.2324677e-08,2.1859747e-10,9.2324677e-08,2.1859179e-10
9.7324677e-08,1.7246577e-10,9.7324677e-08,1.7246456e-10,9.7324677e-08,1.7247006e-10,9.7324677e-08,1.7246562e-10
1e-07,1.5202357e-10,1e-07,1.5202242e-10,1e-07,1.5202727e-10,1e-07,1.5202338e-10

